year,city,avg_temp
1903,Ulaanbaatar,-3.88
1904,Ulaanbaatar,-3.97
1905,Ulaanbaatar,-3.99
1906,Ulaanbaatar,-3.83
1907,Ulaanbaatar,-3.61
1908,Ulaanbaatar,-3.90
1909,Ulaanbaatar,-4.15
1910,Ulaanbaatar,-4.51
1911,Ulaanbaatar,-3.33
1912,Ulaanbaatar,-4.62
1913,Ulaanbaatar,-3.49
1914,Ulaanbaatar,-2.96
1915,Ulaanbaatar,-4.26
1916,Ulaanbaatar,-4.30
1917,Ulaanbaatar,-3.68
1918,Ulaanbaatar,-3.33
1919,Ulaanbaatar,-3.65
1920,Ulaanbaatar,-3.19
1921,Ulaanbaatar,-3.09
1922,Ulaanbaatar,-3.97
1923,Ulaanbaatar,-4.11
1924,Ulaanbaatar,-3.57
1925,Ulaanbaatar,-2.96
1926,Ulaanbaatar,-2.88
1927,Ulaanbaatar,-3.39
1928,Ulaanbaatar,-3.58
1929,Ulaanbaatar,-3.87
1930,Ulaanbaatar,-3.55
1931,Ulaanbaatar,-4.27
1932,Ulaanbaatar,-2.62
1933,Ulaanbaatar,-4.01
1934,Ulaanbaatar,-3.67
1935,Ulaanbaatar,-3.58
1936,Ulaanbaatar,-4.34
1937,Ulaanbaatar,-3.86
1938,Ulaanbaatar,-2.66
1939,Ulaanbaatar,-2.89
1940,Ulaanbaatar,-3.23
1941,Ulaanbaatar,-3.20
1942,Ulaanbaatar,-2.79
1943,Ulaanbaatar,-2.69
1944,Ulaanbaatar,-3.68
1945,Ulaanbaatar,-3.64
1946,Ulaanbaatar,-2.89
1947,Ulaanbaatar,-4.84
1948,Ulaanbaatar,-2.51
1949,Ulaanbaatar,-3.06
1950,Ulaanbaatar,-2.91
1951,Ulaanbaatar,-3.32
1952,Ulaanbaatar,-4.24
1953,Ulaanbaatar,-3.59
1954,Ulaanbaatar,-4.21
1955,Ulaanbaatar,-3.14
1956,Ulaanbaatar,-4.31
1957,Ulaanbaatar,-4.47
1958,Ulaanbaatar,-2.45
1959,Ulaanbaatar,-2.91
1960,Ulaanbaatar,-3.10
1961,Ulaanbaatar,-2.78
1962,Ulaanbaatar,-2.94
1963,Ulaanbaatar,-1.91
1964,Ulaanbaatar,-3.43
1965,Ulaanbaatar,-2.47
1966,Ulaanbaatar,-3.40
1967,Ulaanbaatar,-3.17
1968,Ulaanbaatar,-3.29
1969,Ulaanbaatar,-4.24
1970,Ulaanbaatar,-3.66
1971,Ulaanbaatar,-3.45
1972,Ulaanbaatar,-2.76
1973,Ulaanbaatar,-2.21
1974,Ulaanbaatar,-3.51
1975,Ulaanbaatar,-2.23
1976,Ulaanbaatar,-3.40
1977,Ulaanbaatar,-3.07
1978,Ulaanbaatar,-2.79
1979,Ulaanbaatar,-2.84
1980,Ulaanbaatar,-3.36
1981,Ulaanbaatar,-2.69
1982,Ulaanbaatar,-2.06
1983,Ulaanbaatar,-2.29
1984,Ulaanbaatar,-3.53
1985,Ulaanbaatar,-3.59
1986,Ulaanbaatar,-2.65
1987,Ulaanbaatar,-3.29
1988,Ulaanbaatar,-2.65
1989,Ulaanbaatar,-1.64
1990,Ulaanbaatar,-2.02
1991,Ulaanbaatar,-2.76
1992,Ulaanbaatar,-1.86
1993,Ulaanbaatar,-2.52
1994,Ulaanbaatar,-1.69
1995,Ulaanbaatar,-1.63
1996,Ulaanbaatar,-2.65
1997,Ulaanbaatar,-1.46
1998,Ulaanbaatar,-1.20
1999,Ulaanbaatar,-1.59
2000,Ulaanbaatar,-2.36
2001,Ulaanbaatar,-1.98
2002,Ulaanbaatar,-1.48
2003,Ulaanbaatar,-2.41
2004,Ulaanbaatar,-1.51
2005,Ulaanbaatar,-2.36
2006,Ulaanbaatar,-1.56
2007,Ulaanbaatar,0.20
2008,Ulaanbaatar,-1.05
2009,Ulaanbaatar,-2.04
2010,Ulaanbaatar,-3.04
2011,Ulaanbaatar,-2.41
2012,Ulaanbaatar,-3.37
2013,Ulaanbaatar,-0.22
